display_name,estimate,localized_display_name,product_id,lat,lng,time
UberBLACK,240,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.803337,-122.433725857,2016-04-18 17:15:02.234637
UberSUV,240,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.803337,-122.433725857,2016-04-18 17:15:02.234637
uberWAV,1020,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.803337,-122.433725857,2016-04-18 17:15:02.234637
uberTAXI,300,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.803337,-122.433725857,2016-04-18 17:15:02.234637
uberX,240,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.734883,-122.424505214,2016-04-18 17:15:03.307394
uberXL,240,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.734883,-122.424505214,2016-04-18 17:15:03.307394
uberSELECT,300,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.734883,-122.424505214,2016-04-18 17:15:03.307394
UberBLACK,240,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.734883,-122.424505214,2016-04-18 17:15:03.307394
UberSUV,240,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.734883,-122.424505214,2016-04-18 17:15:03.307394
uberWAV,600,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.734883,-122.424505214,2016-04-18 17:15:03.307394
uberX,120,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7397725714,-122.424505214,2016-04-18 17:15:04.325834
uberXL,360,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7397725714,-122.424505214,2016-04-18 17:15:04.325834
uberSELECT,300,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7397725714,-122.424505214,2016-04-18 17:15:04.325834
UberBLACK,240,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7397725714,-122.424505214,2016-04-18 17:15:04.325834
UberSUV,240,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7397725714,-122.424505214,2016-04-18 17:15:04.325834
uberWAV,720,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7397725714,-122.424505214,2016-04-18 17:15:04.325834
uberX,180,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7446621429,-122.424505214,2016-04-18 17:15:05.491469
uberXL,420,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7446621429,-122.424505214,2016-04-18 17:15:05.491469
uberSELECT,180,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7446621429,-122.424505214,2016-04-18 17:15:05.491469
UberBLACK,180,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7446621429,-122.424505214,2016-04-18 17:15:05.491469
UberSUV,180,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7446621429,-122.424505214,2016-04-18 17:15:05.491469
uberWAV,720,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7446621429,-122.424505214,2016-04-18 17:15:05.491469
uberTAXI,360,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.7446621429,-122.424505214,2016-04-18 17:15:05.491469
uberX,180,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7495517143,-122.424505214,2016-04-18 17:15:06.525098
uberXL,420,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7495517143,-122.424505214,2016-04-18 17:15:06.525098
uberSELECT,180,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7495517143,-122.424505214,2016-04-18 17:15:06.525098
UberBLACK,180,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7495517143,-122.424505214,2016-04-18 17:15:06.525098
UberSUV,180,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7495517143,-122.424505214,2016-04-18 17:15:06.525098
uberWAV,660,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7495517143,-122.424505214,2016-04-18 17:15:06.525098
uberTAXI,300,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.7495517143,-122.424505214,2016-04-18 17:15:06.525098
uberX,180,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7544412857,-122.424505214,2016-04-18 17:15:07.325015
uberXL,480,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7544412857,-122.424505214,2016-04-18 17:15:07.325015
uberSELECT,240,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7544412857,-122.424505214,2016-04-18 17:15:07.325015
UberBLACK,240,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7544412857,-122.424505214,2016-04-18 17:15:07.325015
UberSUV,240,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7544412857,-122.424505214,2016-04-18 17:15:07.325015
uberWAV,720,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7544412857,-122.424505214,2016-04-18 17:15:07.325015
uberTAXI,240,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.7544412857,-122.424505214,2016-04-18 17:15:07.325015
uberX,180,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7593308571,-122.424505214,2016-04-18 17:15:08.086036
uberXL,540,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7593308571,-122.424505214,2016-04-18 17:15:08.086036
uberSELECT,300,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7593308571,-122.424505214,2016-04-18 17:15:08.086036
UberBLACK,300,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7593308571,-122.424505214,2016-04-18 17:15:08.086036
UberSUV,300,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7593308571,-122.424505214,2016-04-18 17:15:08.086036
uberWAV,660,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7593308571,-122.424505214,2016-04-18 17:15:08.086036
uberTAXI,240,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.7593308571,-122.424505214,2016-04-18 17:15:08.086036
uberX,120,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7642204286,-122.424505214,2016-04-18 17:15:09.246860
